1. Project name,2. Geography,3. UN Goal,4. Type of giving,5. Total Budget,6. Amount funded,7. Amount still to be funded,8. Distribution type,9. Start date,10. End date,11. Our contribution to this project,12. Funding status,13. Partnerships sponsor(s),14. Partnerships project manager,15. Partnerships consultant,16. Results objectives (KPI),17. Latest review SWOT Strength,18. Latest review SWOT Weaknesses,19. Latest review SWOT Opportunity,20. Latest review SWOT Threat,21. Latest review comments,22. Satisfaction Ranking overall,23. Satisfaction Ranking overall Strat,24. Satisfaction Ranking overall partners,25. Satisfaction Ranking overall organisation & processes,26. Satisfaction Ranking overall communication,27. Satisfaction comments,28. Other comments,29. Author,30. Date of last update,31. Contact details,32. Description,Date Choice,Date Choice end
Veggies4PlanetandPeople [x],"Continent: Africa; Countries: Ethiopia (50%), Kenya (50%); Cities: Addis Ababa, Nairobi",GOAL 2. Zero Hunger,Corporate Social Responsibility (CSR),$7.5 million USD [x],$5.2 million USD [x],$2.3 million USD [x],Per project,"May 1, 2020 [x]","April 30, 2024",35%,Open,"IKEA Foundation (60%), World Vegetable Center (40%) [x]",Sarah Johnson,GreenGrowth Consulting,"Increase vegetable production by 50%, Improve local economies by 30%, Enhance nutritional intake of 200,000 people",Strong partnership and community involvement,Limited resources in remote areas,Expansion to other regions and inclusion of more crop varieties,Climate change and unpredictable weather patterns,Good progress but needs to address transportation and storage challenges to avoid post-harvest losses.,8/10,7/10,9/10,8/10,7/10,"Partners are responsive, but more frequent updates would be beneficial.",Consider introducing technology to monitor crop growth and soil health.,Emily Robertson,"June 15, 2024",veggies4planetandpeople@worldveg.org,The World Vegetable Center and the IKEA Foundation’s partnership in the Veggies4PlanetandPeople programme will improve smallholder farmers’ livelihoods in Kenya and Ethiopia through a revival of traditional African vegetables grown with regenerative agricultural methods.,2020-05-01,2025-01-01
Aceli Africa [x],"Continent: Africa; Countries: Kenya, Rwanda, Tanzania, Uganda; Cities: Nairobi, Kigali, Dar es Salaam, Kampala.",GOAL 8. Decent Work and Economic Growth,5. Venture Philanthropy,"$10,000,000 [x]","$4,000,000 [x]","$6,000,000 [x]",Scheduled,March 2020 [x],March 2025,40%,Open,"IKEA Foundation 60%, Aceli Africa 40% [x]",Michael Omondi,Global Development Consulting Ltd.,Increase employment opportunities by 25% in the agricultural sector in the targeted countries by 2025.,Strong partnership with local governments and communities.,Dependency on external funding.,Expansion to other East African countries.,Political instability in the region.,The project is progressing well but needs to diversify funding sources.,8/10,7/10,9/10,8/10,7/10,"Partners are satisfied with the communication and management, though some concerns about strategic direction remain.",Need more engagement with local stakeholders to ensure sustainability.,Dr. Jane Goodall,2024-06-25,info@aceliafrica.org,"The IKEA Foundation, together with Aceli Africa, will help improve rural livelihoods in Kenya, Rwanda, Uganda and Tanzania by offering financial incentives to lenders to serve small and medium agribusinesses that have a strong social and environmental impact. This will make it easier for planet-positive agribusinesses to access financial and technical support.",2020-03-01,2021-05-01
Carnegie Climate Governance Initiative [x],"Continent: Multiple (Global), Country: Multiple countries, City: Multiple cities.",GOAL 13. Climate Action,Corporate Social Responsibility (CSR),"$3,075,780 USD [x]","$2,274,370 USD [x]","$801,410 USD [x]",Per project,"March 1, 2020 [x]","March 1, 2023",25%,Open,Carnegie Council - 100% [x],Johnathan Meyers,Global Climate Solutions Inc.,Reduce global carbon emissions by 15% within the project timeframe,Strong global partnerships and extensive network,Diverse regulations across different countries,Increasing global awareness and support for climate initiatives,Political instability in key regions,Progress is on track but requires more aggressive approaches in certain areas,8/10,7/10,9/10,8/10,7/10,Partners express satisfaction with the initiative’s direction but desire better communication,There is a need for more localized project management teams to handle regional challenges,Emily Stanton,"June 18, 2024",info@climate-governance-initiative.org,"The Carnegie Climate Governance Initiative (C2G) and the IKEA Foundation are working in partnership to encourage policymakers to develop effective governance around new technologies, like solar radiation modification, that could alter the climate.",2020-03-01,2021-09-01
Aceli Africa [x],"Continent: Africa, Countries: Kenya, Rwanda, Tanzania, Uganda; Cities: Nairobi, Kigali, Dodoma, Kampala",GOAL 8. Decent Work and Economic Growth,Corporate Social Responsibility (CSR),8.82M€ [x],3.56M€ [x],5.26M€ [x],Per project,March 2020 [x],March 2025,40%,Open,IKEA Foundation [x],Samuel Okoth,Global Development Consulting Ltd.,Increase employment opportunities by 30% in the agricultural sectors of the participating countries by 2025.,Robust collaboration with local governments and communities,Limited resources to scale up efforts quickly,Expansion into other agricultural sectors and countries,Political instability in the region,"Project is progressing well and meeting initial targets; however, scaling up remains a challenge.",7/10,7/10,8/10,6/10,7/10,Partners are satisfied with the communication and management but suggest improvements in organizational processes.,Continued monitoring and support necessary to ensure long-term success.,Michael Adeyemi,2024-06-25,projectmanager@aceliafrica.org,"The IKEA Foundation, together with Aceli Africa, will help improve rural livelihoods in Kenya, Rwanda, Uganda and Tanzania by offering financial incentives to lenders to serve small and medium agribusinesses that have a strong social and environmental impact. This will make it easier for planet-positive agribusinesses to access financial and technical support.",2020-03-01,2021-09-01
InfluenceMap [x],"Continent - Multiple (Australia, Europe, Asia, North America); Country - Australia, United Kingdom, Japan; City - Multiple (specific cities not listed)",GOAL 13. Climate Action,3. Corporate Social Responsibility (CSR),"$1,140,935 USD [x]","$1,118,282 USD [x]","$22,653 USD [x]",Scheduled,February 2020 [x],February 2023,75%,Open,InfluenceMap (100%) [x],Sarah Thompson,Green Insights Consulting,Increase awareness and action on climate change by 30% in targeted regions.,Strong governmental and investor networks.,Limited reach in non-English speaking regions.,Expansion to additional countries and regions.,Potential regulatory changes affecting advocacy work.,Project is progressing well with significant impact in policy advocacy.,4.5/5,,,,,Partners express high satisfaction with the project's impact and management.,Consider expanding project scope to include more languages and regions.,Emily Roberts,2024-06-25,projectinfo@influencemap.org,"InfluenceMap provides governments, investors and campaigners with clear and accurate information on where companies stand on climate policy and action. The IKEA Foundation is partnering with InfluenceMap to support and guide willing companies—and increase the pressure on reluctant companies—to take meaningful climate action.",2020-02-01,2021-03-01
Transforming Energy Access (TEA) [x],"Continent: Africa, Country: Ethiopia, City: Addis Ababa (also Global Programs and Kenya)",GOAL 7. Affordable and Clean Energy,Corporate Social Responsibility (CSR),"$5,000,000 USD [x]","$5,000,000 USD [x]",$0 USD [x],Scheduled,January 2020 [x],December 2025,45%,Open,"Carbon Trust (35%), Local NGOs (15%) [x]",Amanuel Tsegaye,Green Energy Solutions Ltd.,Increase renewable energy usage by 25% within the target areas,Strong partnership with experienced organizations,Dependency on continued funding for project sustainability,Expansion into other regions with similar energy needs,Political instability in target regions could affect project implementation,Project is progressing well but needs to secure future funding to ensure completion,8/10,8/10,9/10,7/10,8/10,Partners are satisfied with the communication and strategies involved; some concerns over long-term funding.,Need to focus on building local capacity to maintain infrastructure after project ends.,Mesfin Getachew,"June 10, 2023",amanuel.tsegaye@teaproject.org,"The IKEA Foundation is supporting Carbon Trust to deliver Transforming Energy Access, a research and innovation platform supporting the technologies, business models and skills needed to enable an inclusive clean energy transition.",2020-01-01,2023-05-01
Better Shelter [x],"Continent: Global, Country: N/A, City: N/A",GOAL 11. Sustainable Cities and Communities,Corporate Social Responsibility (CSR),16.45 million USD [x],16.45 million USD [x],0 USD [x],Per project,December 2019 [x],December 2024,100%,Closed,IKEA Foundation (100%) [x],Johnathan Doe,Global Shelter Consulting,Increase in number of sustainable shelters built globally by 20% annually.,Strong partnership with globally recognized organizations.,Dependency on a single funding source.,Expansion into new geographic areas with high demands for sustainable housing.,Potential regulatory changes in global housing policies.,"The project is on track to meet its objectives, with significant progress in shelter development and deployment.",8/10,8/10,9/10,7/10,8/10,Partners express high satisfaction with the communication and support from the project management team.,Consider diversifying funding sources to ensure sustainability and expand impact.,Emily Strauss,2023-11-15,contact@bettershelter.org,The IKEA Foundation is partnering with Housing for All who provide management to Better Shelter to build the market demand for its housing solution and optimise the organisation for growth and sustainability.,2019-12-01,2024-10-01
Climate Analytics [x],"Continent: Global, Country: Multiple, City: Multiple",GOAL 13. Climate Action,Corporate Social Responsibility (CSR),"$2,347,000 USD [x] (converted from €2.11M)","$2,347,000 USD [x] (converted from €2.11M)",$0 USD [x],Per project,"December 1, 2019 [x]","December 1, 2022",100%,Closed,Climate Analytics (100% contribution) [x],Dr. Helena Schmidt,Global Climate Solutions Inc.,"Reduction in carbon emissions by 20% in partner countries, increase in renewable energy adoption by 15%.",Strong scientific research capabilities and government partnerships.,Limited reach in some high-impact potential areas.,Expansion into emerging markets with high carbon emissions.,Political instability in key regions affecting project continuity.,"""Significant progress in emission reductions, though some targets were challenging due to external factors.""",8/10,9/10,8/10,7/10,8/10,"""Effective communication and cooperation, though some delays in data reporting were noted.""","""Looking forward to seeing continued impact and possible project extensions based on current successes.""",Johnathan Price,"June 25, 2024",info@climateanalytics.org,Climate Analytics supports individual countries to set climate action targets in line with the 2015 Paris Agreement. The IKEA Foundation is funding Climate Analytics as part of our commitment to bold climate action because we believe they can play an important role in helping countries achieve their objectives and meet the 1.5°C target.,2019-12-01,2024-09-01
Purpose Climate Lab [x],"Continent: South America, Country: Brazil, City: São Paulo",GOAL 13. Climate Action,"Environmental, Social, and Governance (ESG) Investing",14.37 million USD [x],12.55 million USD [x],1.82 million USD [x],Scheduled,"December 1, 2019 [x]","December 1, 2024",40%,Open,Purpose Climate Lab [x],Roberto Silva,Green Innovations Inc.,Reduce carbon emissions by 20% in the target area within 5 years,Strong local partnerships enhancing project implementation,Limited public awareness and engagement in the initial phases,Expansion of project scope to include additional sustainable initiatives,Potential regulatory changes affecting project operations,The project is progressing well with significant local support and is on track to meet its emission reduction targets.,8/10,7/10,9/10,8/10,7/10,"Partners and stakeholders are generally satisfied, though there is room for improvement in communication strategies.",Consider expanding the educational component to further engage the community.,Maria Gonzalez,2024-06-20,info@purposeclimatelab.org,"Purpose Climate Lab builds and supports campaigns that inspire people to take bold climate action and adopt fair solutions to climate change around the world. The IKEA Foundation is partnering with Purpose Climate Lab to support its ambitious, people-centred campaigns to protect our planet and ensure a just transition to a low-carbon future.",2019-12-01,2024-01-01
Youth in Agroecology and Business Learning Track Initiative [x],,GOAL 2. Zero Hunger,Corporate Social Responsibility (CSR),€1.08M [x],€1.08M [x],€0 [x],Per project,December 2019 [x],December 2024,100%,Closed,Netherlands Food Partnership (100%) [x],Jan van der Hoek,Global Agro Solutions Inc.,Increase agroecological practices among youth in the four countries by 30%,Strong partnership with local communities and government entities,Limited access to modern technology in rural areas,Expansion of the program to include more countries in Africa,Changing climate conditions affecting agricultural outputs,"The project is on track to meet its objectives, with positive feedback from participants and stakeholders.",8/10,8/10,9/10,7/10,8/10,Partners and participants are generally satisfied with the management and outcomes of the project.,Consideration for technological integration is recommended for future projects.,Emily Thompson,"June 10, 2024",info@youthinagroecology.org,"Netherlands Food Partnership and the IKEA Foundation will support young people in Ethiopia, Kenya, Rwanda and Uganda to create agricultural businesses based on agroecology—a sustainable approach to farming that will improve both their yields and the environment.",2019-12-01,2023-11-01
Bridging early stage financing [x],"Continent: Africa, Country: Kenya, City: Nairobi (generated based on ""Geographic Area"")",GOAL 7. Affordable and Clean Energy,Traditional Philanthropy (generated based on the description involving early stage financing and innovation center),"$1,100,000 USD [x] (converted from 984.20K€)","$1,042,455 USD [x] (converted from 932.05K€)","$57,545 USD [x]",Per project (generated),December 2019 [x],December 2024 (generated),85% (generated),Open (generated),"Kenya Climate Innovation Centre [x], contributing 15% (generated)",John Mwangi (generated),Green Innovate Consulting (generated),Increase renewable energy startups by 30% in Kenya by 2024 (generated),Strong local partnerships with innovation hubs (generated),Limited access to subsequent funding rounds (generated),Expanding to other East African markets (generated),Regulatory changes affecting renewable energy sector (generated),"""Project is on track, but needs more aggressive outreach."" (generated)",4.5/5 (generated),4.3/5 (generated),4.7/5 (generated),4.2/5 (generated),4.6/5 (generated),"""Partners are highly collaborative and responsive."" (generated)","""Consider additional funding to ensure targets are met."" (generated)",Emily Roberts (generated),"June 15, 2024 (generated)",contact@kcic.or.ke (generated based on partner information),The IKEA Foundation and the Kenya Climate Innovation Centre (KCIC) are supporting the growth of climate technology enterprises to create green job opportunities for women and young people in Kenya.,2019-12-01,2022-09-01
Job Seekers to Entrepreneurs [x],Continent - Asia; Country - India; City - Generated - Mumbai,GOAL 8. Decent Work and Economic Growth,3. Corporate Social Responsibility (CSR),2.7 million USD [x],1.74 million USD [x],0.96 million USD [x],Per project,December 2019 [x],Generated - December 2024,Generated - 35%,Open,Global Alliance for Mass Entrepreneurship [x],Generated - Anjali Sharma,Generated - Development Consultants Pvt Ltd,Generated - Enable 5000 job seekers to start their own businesses by 2024,Strong partnership with local organizations,Limited reach in rural areas,Expansion of program to include more vocational training,Economic downturn affecting entrepreneurship rates,"Progress is on track, but more efforts are needed in marketing and outreach",Generated - 8/10,Generated - 7/10,Generated - 9/10,Generated - 7/10,Generated - 8/10,"Partners and participants are generally satisfied, but some expressed need for clearer communication strategies",Some participants requested additional support in securing initial funding for their ventures,Generated - Priya Deshpande,"Generated - June 15, 2024",Generated - info@jobseekerstoentrepreneurs.org,The IKEA Foundation and Global Alliance for Mass Entrepreneurship (GAME) are working in partnership to build a national platform to create employment opportunities on a mass scale for young people in India. This will act as a catalyst to create 10 million young entrepreneurs—half of who will be women—resulting in 50 million jobs by 2030.,2019-12-01,2022-10-01
Bihar Graduation Programme [x],"Continent - Asia, Country - India, City - Patna",GOAL 1. No Poverty,,"$4,730,000 USD [x]","$3,190,000 USD [x]","$1,540,000 USD [x]",Per project,"December 1, 2019 [x]","December 1, 2024",20%,Open,Co-Impact (100%) [x],Anjali Kumar,Development Impact Solutions,"Increase household income for 10,000 families by 50%",Strong local partnerships,Limited access to remote areas,Expansion to other regions,Political instability,"Progress is steady, but challenges in scalability need to be addressed.",4.2/5,4.5/5,4.7/5,4.0/5,3.8/5,Partners are satisfied with the communication but suggest more frequent updates.,Additional funding is crucial to meet the project's end date and objectives.,Dr. Sunita Reddy,"June 25, 2024",anjali.kumar@developmentimpactsolutions.com,"The IKEA Foundation is partnering with Co-Impact to support local partners in Bihar, India to build a public programme that will empower 100,000 families to lift themselves out of extreme poverty.",2019-12-01,2022-11-01
Cash grants for urban refugees in Kampala [x],"Continent: Africa, Country: Uganda, City: Kampala [x]",GOAL 1. No Poverty,Traditional Philanthropy,"722,350 USD [x]","744,180 USD [x]","21,830 USD [x]",Per project,"December 1, 2019 [x]","December 1, 2021",75%,Closed,GiveDirectly (100%) [x],Sarah Nalubega,Global Development Experts Ltd.,Increase the financial stability of 500 urban refugees by 50%.,Highly efficient direct cash transfer model.,Limited reach to all needy refugees due to funding constraints.,Expansion to other urban areas with high refugee populations.,Political instability could affect project operations.,The project has shown significant improvements in the livelihoods of the participants.,8/10,7/10,9/10,8/10,7/10,Partners and beneficiaries are generally satisfied with the communication and outcomes.,Consider increasing funding to scale the project further.,Jonathan Mwebe,2024-06-25,jmwebe@globaldevexperts.com,"GiveDirectly provides refugees with cash transfers to make investments such as starting a small business or building a home. The IKEA Foundation supports this work which will enable refugees to provide for their children and become self-sufficient, active members of their communities.",2019-12-01,2024-09-01
Progressing the Retail Sector by Improving Decent Work Practices [x],"Asia, Bangladesh, Dhaka",GOAL 8. Decent Work and Economic Growth,Corporate Social Responsibility (CSR),"$3,060,000 USD [x]","$2,567,600 USD [x]","$492,400 USD [x]",Per project,"November 1, 2019 [x]","November 1, 2024",15%,Open,Bangladesh Rural Advancement Committee (BRAC) - 100% [x],Ayesha Rahman,Development Impact Solutions,"Increase in employment rates, reduction in workplace accidents, improvement in worker satisfaction.",Strong local partnership with BRAC,Dependence on local regulatory changes,Potential to scale the project to other sectors,Political instability,The project is progressing well with significant improvements noted in worker conditions and company compliance with decent work practices.,8/10,7/10,9/10,8/10,8/10,"Partners express satisfaction with the clear communication and structured approach, though some desire faster implementation of certain project components.",Continued monitoring is necessary to ensure long-term sustainability of improvements.,Sameera Khan,"June 12, 2024",progressingretail@brac.net,"The IKEA Foundation’s partnership with Bangladesh Rural Advancement Committee (BRAC) will give young people from disadvantaged backgrounds training and support to get quality jobs in Bangladesh’s retail sector, while improving working conditions in the industry.",2019-11-01,2022-09-01
[x] Promoting Social Entrepreneurship in Developing Countries,Continent: Asia; Country: India; City: Mumbai,GOAL 8. Decent Work and Economic Growth,5. Venture Philanthropy,"[x] 3,000,000 USD","[x] 2,500,000 USD","[x] 500,000 USD",Per project,"[x] November 1, 2019","November 1, 2024",45%,Open,[x] Yunus Social Business (100% of the partnership),Rahul Gupta,Global Development Consulting Inc.,Increase the number of sustainable social businesses by 30% in targeted regions by the end of 2024.,Strong partnership with experienced organizations in social entrepreneurship.,Limited reach in rural areas.,Expansion of project scope to include more developing countries.,Potential regulatory changes affecting social businesses.,The project shows promising outcomes but needs to focus on expanding its geographical reach and addressing regulatory challenges.,8/10,7/10,9/10,8/10,7/10,"Partners are satisfied with the collaboration and outcomes, though communication delays have been a minor issue.",Consideration for phase 2 of the project is underway with potential adjustments based on current outcomes and feedback.,Dr. Ananya Verma,"June 24, 2024",ananya.verma@globaldevconsulting.org,"The IKEA Foundation and Yunus Social Business Fund are providing business advisory services, networks and access to finance to help social entrepreneurs in India and Kenya grow businesses that support people living in poverty, improving the incomes of 100,000 young people and women.",2019-11-01,2024-02-01
Preparation for scaling and replication [x],"Continent: Asia, Country: India, City: Not specified (generate plausible city: New Delhi)",GOAL 7. Affordable and Clean Energy,Traditional Philanthropy,"$2,000,000 USD [x]","$1,740,000 USD [x]","$260,000 USD [x]",Scheduled,"November 1, 2019 [x]","December 31, 2022",15%,Open,Mlinda Foundation (100%) [x],Ajay Singh,Green Energy Solutions Pvt Ltd,Increase renewable energy adoption by 30% in targeted areas,Strong local partnerships,Limited technological resources,Potential for government subsidies,Regulatory changes,"Progressing as planned, with some delays due to equipment supply issues.",8/10,7/10,9/10,8/10,7/10,"Partners express satisfaction with collaboration, though suggest improvements in communication.",Consider exploring additional funding sources to close the funding gap.,Dr. Maya Patel,"June 25, 2022",info@mlindafoundation.org,"With support from the IKEA Foundation, Mlinda Foundation aims to rapidly scale the renewable energy access based rural development model they developed in Jharkhand, India, in one of the poorest regions where the average daily family income is less than €2 per day.",2019-11-01,2023-09-01
Green Future Farming [x],"Continent: Africa; Countries: Ethiopia, Kenya, Uganda; Cities: Addis Ababa, Nairobi, Kampala.",GOAL 2. Zero Hunger,Corporate Social Responsibility (CSR),$4.11 million USD [x],$3.80 million USD [x],"$310,000 USD [x]",Per project,September 2019 [x],September 2024,75%,Open,Stichting Aidenvironment [x],John Kiplagat,Green Innovations Ltd.,"Increase agricultural output by 40%, enhance local farming skills, and improve sustainable farming practices.",Strong community involvement and support.,Dependency on seasonal rainfall.,Expansion into other regions and crops.,Potential political instability affecting project continuity.,"Remarkable progress in community engagement and training, though more efforts are needed in water conservation techniques.",8/10,7/10,9/10,8/10,7/10,"High satisfaction with partner collaboration, though some delays in communication were noted.",Consider exploring more drought-resistant crop varieties.,Emily Watson,"June 15, 2023",greenfuture@aidenvironment.org,"The IKEA Foundation and RAIN (a brand of Aidenvironment) are enabling smallholder farmers in Ethiopia, Uganda and Kenya to adopt planet positive farming practices that will restore degraded landscapes, improve soil quality, produce higher yields and create viable livelihoods in agriculture.",2019-09-01,2021-04-01
Land Accelerator India [x],"Continent: Asia, Country: India, City: Not specified - plausible city: New Delhi",GOAL 15. Life on Land,3. Corporate Social Responsibility (CSR),"$1,146,000 USD [x] (converted from 999.53K€ at an exchange rate of 1.15 USD per EUR)","$1,125,000 USD [x] (converted from 979.13K€ at an exchange rate of 1.15 USD per EUR)","$21,000 USD [x]",Per project,September 2019 [x],September 2022 (3 years from start),30%,Open,World Resources Institute [x] (100% contribution),Ananya Singh,Green Growth Consultants,Increase in afforestation by 20% in targeted areas.,Strong partnership with local communities.,Limited visibility in remote areas.,Potential for expansion into other regions of India.,Regulatory changes impacting land use.,"The project is progressing well with significant community engagement, though challenges in remote area operations have been noted.",8/10,7/10,9/10,8/10,7/10,"Partners are satisfied with the engagement and transparency, though some improvements in communication frequency could enhance the project's effectiveness.",Consideration for technological integration to monitor progress remotely is suggested.,Priya Malhotra,"June 10, 2023",india_land_accelerator@wri.org,"The IKEA Foundationis supporting WRI to launch the first Land Accelerator in India, which will help 45 land restoration entrepreneurs to build profitable businesses from making degraded land healthy again and prove the business case for regenerative agriculture.",2019-09-01,2021-08-01
Acumen Resilient Agriculture Fund [x],,GOAL 13. Climate Action,3. Corporate Social Responsibility (CSR),"$3,000,000 USD [x]","$2,850,000 USD [x]","$150,000 USD [x]",Per project,"August 1, 2019 [x]","July 31, 2024",20%,Open,,Michael Johnson,Green Growth Advisory Ltd.,Increase agricultural resilience in climate-vulnerable areas by 30% by 2024.,Strong partnerships with local organizations enhancing project effectiveness.,Dependence on continuous funding to sustain operations.,Expansion opportunities into other climate-vulnerable regions.,Potential political instability in project areas affecting implementation.,"""Project shows promising progress and adherence to sustainability principles but needs to focus on long-term financial independence.""",80%,85%,90%,75%,80%,"""Partners and stakeholders are generally satisfied with the project's transparency and communication.""","""Need to explore more innovative funding options to ensure project sustainability.""",Elizabeth Thompson,"June 1, 2024",michael.johnson@acumenfund.org,"The IKEA Foundation partners with Acumen Fund to invest in innovative agribusinesses in East and West Africa that will help smallholder farmers improve their livelihoods and become more resilient to climate change, impacting 10 million people.",2019-08-01,2022-01-01
Building capacity for low-carbon economy in Brazil [x],"Continent: South America, Country: Brazil, City: not specified - plausible city: Rio de Janeiro",GOAL 13. Climate Action,3. Corporate Social Responsibility (CSR),$3.28 million USD [x],$3.35 million USD [x],$0 USD [x],Per project,July 2019 [x],July 2022 (projected 3-year duration),75%,Closed,Instituto Clima e Sociedade [x],João Silva,EcoSolutions Consulting,Reduction of CO2 emissions by 25% over 3 years,Strong governmental and community support,Financial dependencies on external funding,Potential for expansion to other regions of Brazil,Political instability which may affect project continuation,"Project is advancing well and meeting initial milestones, but needs to secure further funding for next phases.",8/10,,,,,Partners express high satisfaction with collaboration but suggest improvements in communication strategies.,Need to evaluate potential impacts of upcoming elections on project sustainability.,Maria Fernandes,"June 20, 2022",info@icsbrasil.org,"Instituto Clima e Sociedade (iCS) is Brazil’s leading climate action platform that works to reduce CO2 emissions and move the country towards a low-carbon economy. The IKEA Foundation is funding iCS because we’re committed to taking bold climate action and protecting vital natural resources, such as the Amazon rainforest, for the many people.",2019-07-01,2023-07-01
African Entrepreneur Collective [x],,GOAL 8. Decent Work and Economic Growth,Corporate Social Responsibility (CSR),$2.23 million USD [x],$2.12 million USD [x],$0.11 million USD [x],Per project,July 2019 [x],July 2024,75%,Open,Inkomoko [x],Alemayehu Bezabeh,Global Business Consulting Services,Increase business sustainability for 500+ entrepreneurs in three years,Strong local partnerships enhancing project effectiveness,Limited access to further funding,Expansion to other East African countries,Political instability in the region,"""Project shows promising results, but needs more financial backing to ensure long-term success.""",8/10,8/10,9/10,,7/10,"""Effective communication and organizational structure have been key to our success.""","""Looking forward to potential expansion and greater impacts.""",Jonathan M. Kipkorir,2024-06-25,jmkorir@africanentrepreneur.co.ke,The IKEA Foundation is partnering with the African Entrepreneur Collective to support refugees and host community entrepreneurs in Kenya and Ethiopia to grow successful businesses.,2019-07-01,2021-04-01
Multi-channel activity to advance Electric Vehicles [x],"Continent: Europe, Country: Sweden, City: Stockholm",GOAL 13. Climate Action,3. Corporate Social Responsibility (CSR),€10.08M [x],€10M [x],"€80,000 [x]",Per project,July 2019 [x],July 2024,35%,Open,ClimateWorks Foundation - 65% [x],Henrik Svensson,Nordic Green Solutions,Increase in electric vehicle usage by 20% in targeted regions by 2024,Strong partnership with ClimateWorks Foundation,Limited reach in rural areas,Expansion to new markets within Europe,Regulatory changes affecting electric vehicle industry,Progress is on track but needs to focus more on rural area engagement,4.5 out of 5,4.2 out of 5,4.8 out of 5,4.3 out of 5,4.7 out of 5,Partners express high satisfaction with communication and management,Consider exploring additional funding opportunities to expand project reach,Emma Larsson,2024-06-25,elarsson@nordicgreensolutions.com,"ClimateWorks and the IKEA Foundation are working together to speed up the adoption of electric vehicles in the European Union and India. At the same time, the partnership is researching how funders can support Indonesia to transition to renewable energy.",2019-07-01,2021-08-01
[x] Expanding labour market access for refugees and migrants,"Continent: South America, Africa; Countries: Colombia, Ethiopia, Kenya, Peru; Cities: Bogota, Addis Ababa, Nairobi, Lima",GOAL 8. Decent Work and Economic Growth,1. Traditional Philanthropy,[x] 1.22M USD,[x] 1.20M USD,[x] 0.02M USD,Per request,[x] June 2019,June 2024,30%,Open,[x] Center for Global Development,Sarah Johnson,Global Impact Consulting,Increase employment rates among refugees and migrants in targeted areas by 25% by 2024,Strong partnerships with local governments and NGOs,Limited access to certain rural communities,Expansion into more countries with similar needs,Potential political instability affecting project continuity,"Project is on track, but needs to focus more on community engagement to ensure sustainability",8/10,9/10,7/10,8/10,7/10,Partners express general satisfaction with communication and outcome but suggest more frequent updates,Consider adding more local training programs to enhance skill sets,Emily Thompson,2023-11-15,emily.thompson@globalimpactconsulting.com,The IKEA Foundation is supporting the Center for Global Development's research and policy outreach programme to expand refugees' access to formal labour markets and demonstrate the economic benefits this can bring for host countries and businesses.,2019-06-01,2023-09-01
One Acre Fund [x],"Continent - Africa; Country - Kenya, Rwanda; City - Various",GOAL 2. Zero Hunger,3. Corporate Social Responsibility (CSR),"$7,756,000 USD [x] (converted from €6.89M)","$7,218,400 USD [x] (converted from €6.42M)","$537,600 USD [x] (difference between total budget and amount funded)",Scheduled,June 2019 [x],June 2023,15%,Open,IKEA Foundation [x],Julia Mwangi,Green Growth Associates,Increase agricultural yield by 20% over 4 years,Strong local partnerships enhancing project implementation,Limited resources to scale up quickly,Potential for replication in other regions,Climate variability affecting agricultural productivity,"The project is on track to meet most of its objectives, though some areas require more focused efforts.",8/10,7/10,9/10,8/10,7/10,"Partners and stakeholders are generally satisfied, though some concerns about communication delays.",Continued monitoring and adaptive strategies suggested to tackle unforeseen challenges.,Michael Thompson,"June 15, 2023",info@oneacrefund.org,"One Acre Fund and the IKEA Foundation are working together to reach 1.25 million smallholder farmers in Rwanda and Kenya by 2023, helping them improve their resilience to climate change and create the conditions for rich harvests, thriving families and healthy environments.",2019-06-01,2021-10-01
Bangladesh Youth Leadership Center [x],"Continent: Asia, Country: Bangladesh, City: Dhaka",Goal 4: Quality Education,Traditional Philanthropy,€1.88M [x],€1.88M [x],€0 [x],Per project,June 2019 [x],June 2022,100%,Closed,Bangladesh Youth Leadership Center [x],Mr. Ahsan Habib,Global Education Consulting Ltd.,"Increase youth leadership skills in 10,000 students by the end of the project.",Strong local partnerships enhancing project implementation.,Limited resources to expand the program beyond the targeted region.,Potential to replicate the model in other regions of the country.,Political instability that could affect project continuity.,The project has shown significant progress in youth engagement and leadership development.,8/10,8/10,9/10,7/10,8/10,Partners and participants are highly satisfied with the leadership training but suggest more frequent communication updates.,Consider expanding the project scope to include more regions within Bangladesh.,Dr. Farah Mahmood,2024-06-25,info@blyc.org,"Bangladesh Youth Leadership Center (BYLC) and the IKEA Foundation are helping young people in Bangladesh develop the skills and networks they need to find employment or start an enterprise, through an interactive online courses and personalised career and entrepreneurship support.",2019-06-01,2021-04-01
